אפליקציה,מיקום אפליקציה,מספר עמדה,טכנולוגיה ,הערות,הארות טכני,כותרת,נושא,פעולה/ תרגיל,תגובת התוכן,ריפוי בעיסוק,קלינאות תקשורת,תרגול - פיזיותרפיה,תרפיה במוזיקה ,עמדה,חיישן,תוכנה,מחשב טרפיסט,מקלדת טרפיסט,מחשב עמדה 1,מקלדת עמדה 1,מחשב עמדה 2,מקלדת עמדה 2,מחשב עמדה 3,מקלדת עמדה 3,מחשב עמדה 4,מקלדת עמדה 4,מחשב עמדה 5,מקלדת עמדה 5,מחשב עמדה 6,מקלדת עמדה 6,מחשב שרת,מקלדת שרת
,,5+6, Intel+leap,עמדה 5 +6,,נגינה בזוג באמצעות תנועות פנים ותנועות ידיים,אלתור לשיר happy באמצעות תופים וגיטרה חשמלית,באמצעות תנועות הפנים נוכל לנגן בתופים ובאמצעות תנועות הידיים ננגן בגיטרה חשמלית,הוספה והוצאה של כלי נגינה ביצירה,✓,✓,✓,,"0,2,3,4,5",,50,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,הפעלת הפרויקט,התחלת היצירה,כעת נלחץ על כפתור PLAY בבקרת קול,הפעלת ערוצים באבלטון,,,,,"0,2,3,4,5",701,50,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,נגינה באמצעות תנועות פנים,הפעלה ועצירה של מקצב התופים,באמצעות חיוך נוכל להתחיל או לעצור את מקצב התופים,פעולת החיוך תוסיף מקצב תופים והפסקתו תעצור את נגינת התופים,,,,,"0,2,3,4,5",701,50,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,נגינה באמצעות תנועות פנים,הפעלה ועצירה של קסילופון,באמצעות פתיחת הפה נוכל להוסיף או להפסיק נגינה של קסילופון,"פעולת פתיחת הפה תוסיף קסילופון לשיר וסגירת הפה תעצור את נגינת הקסילופון, גודל הפה יקבע את עוצמת הצליל",,,,,"0,2,3,4,5",701,50,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,נגינה באמצעות תנועות פנים,הוספה של מעברי תופים,באמצעות הכנסת אוויר ללחי ימין או שמאל נוכל להוסיף מעברי תופים ליצירה,פעולת הכנסת האוויר ללחי ימין או שמאל תוסיף נגינה בתופי הטם טם לצורך יצירת מעברים ,,,,,"0,2,3,4,5",701,50,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,נגינה באמצעות תנועות פנים,הוספת של מצילות,באמצעות הרמת גבות נוכל להוסיף נגינה במצילות,פעולת הרמת הגבות תוסיף מצילה ליצירה,,,,,"0,2,3,4,5",701,50,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,נגינה באמצעות תנועות ידיים,הוספת צלילי גיטרה,באמצעות נגינת פריטה ביד ימין על מיתרי הגיטרה נוכל להוסיף צלילים מלודיים,פעולת פריטת ארפג'ו תוסיף צלילי גיטרה וכך ניתן לאלתר מלודיה ביצירה,,,,,"0,2,3,4,5",600,42,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,נגינה באמצעות תנועות ידיים,הוספת אקורדים בנגינת הגיטרה,באמצעות לחיצה בעזרת יד שמאל על הריבועים שנמצאים על צוואר הגיטרה נוכל להוסיף אקורדים ליצירה,פעולת הלחיצה תוסיף אקורדים וכך ניתן לאלתר הרמוניה ביצירה,,,,,"0,2,3,4,5",600,42,C:\start.bat,,,,,,,,,,,,,,,
,,5+6, Intel+leap,עמדה 5 +6,,נגינה באמצעות תנועות ידיים,הוספת סולו גיטרה חשמלית,באמצעות קיבוץ אצבעות יד ימין/שמאל ומעבר לחלק האחורי של הגיטרה (ניתן להבחין במלבנים הממוקמים מאחורי הגיטרה החשמלית) נוכל לאלתר סולו,נגיעה במלבנים תפיק צלילי גיטרה חשמלית שונים ומעבר ביניהם יאפשר אילתור סולו,,,,,"0,2,3,4,5",600,42,C:\start.bat,,,,,,,,,,,,,,,
,,1,Opti,עמדה 1,,נגינה באמצעות מחבטי האופטי,הוספת גיטרה בס,באמצעות הכנסת מחבט האופטי מתחת לפנס האדום יושמע לופ של גיטרה בס ,הנחת מחבט אופטי מתחת לפנס האדום תאפשר הפקת צלילי גיטרה בס בסולם של השיר,,,,,"0,2,3,4,5",400,39,C:\start.bat,,,,,,,,,,,,,,,
